sourcePostId,title,proposedCollection,severity,message
511,The Trial of IIhan Comak in Istanbul,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
519,Le système carcéral en Turquie est au bord de la rupture﻿,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=519, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-10-20.31.54.png)"
519,Le système carcéral en Turquie est au bord de la rupture﻿,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
528,Turquie. Le système carcéral au bord de la rupture,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=528, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-10-21.06.58.png)"
528,Turquie. Le système carcéral au bord de la rupture,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
535,"Après Le Putsch, Les Prısons Turques Sont Complètement Saturées",basinda,warning,"Öne çıkan görselin alt metni boş (post_id=535, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-10-21.26.36.png)"
535,"Après Le Putsch, Les Prısons Turques Sont Complètement Saturées",basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
538,Coup arrests push Turkish penal system to breaking point,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=538, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-10-21.35.33.png)"
538,Coup arrests push Turkish penal system to breaking point,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
545,1914 enfants étaient officiellement encore en prison en Turquie en Juillet,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=545, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-10-21.58.50.png)"
